Time: 1: Elf Bill:     Selected toy doll, girl
Time: 356: Elf Bill:     Wrapped toy bracelet, boy
Time: 356: Elf Bill:     Placed toy bracelet, boy
Time: 357: Elf Bill:     Selected toy whistle, boy
Time: 357: Elf Bill:     Wrapped toy whistle, boy
Time: 358: Elf Bill:     Placed toy whistle, boy
Time: 359: Elf Bill:     Selected toy train, girl
Time: 360: Elf Bill:     Wrapped toy train, girl
Time: 360: Elf Bill:     Placed toy train, girl
Time: 361: Elf Bill:     Selected toy fake tattoo, girl
Time: 362: Elf Bill:     Wrapped toy fake tattoo, girl
Time: 362: Elf Bill:     Placed toy fake tattoo, girl
Time: 363: Elf Bill:     Selected toy whistle, girl
Time: 363: Elf Bill:     Wrapped toy whistle, girl
Time: 364: Elf Bill:     Placed toy whistle, girl
Time: 366: Elf Bill:     Selected toy doll, boy
Time: 366: Elf Bill:     Wrapped toy doll, boy
Time: 366: Elf Bill:     Placed toy doll, boy
Time: 367: Elf Bill:     Selected toy train, girl
Time: 368: Elf Bill:     Wrapped toy train, girl
Time: 368: Elf Bill:     Placed toy train, girl
Time: 370: Elf Bill:     Selected toy bracelet, girl
Time: 371: Elf Bill:     Wrapped toy bracelet, girl
Time: 372: Elf Bill:     Placed toy bracelet, girl
Time: 372: Elf Bill:     Selected toy train, girl
Time: 373: Elf Bill:     Wrapped toy train, girl
Time: 374: Elf Bill:     Placed toy train, girl
Time: 375: Elf Bill:     Selected toy whistle, girl
Time: 376: Elf Bill:     Wrapped toy whistle, girl
Time: 377: Elf Bill:     Placed toy whistle, girl
Time: 378: Elf Bill:     Selected toy train, girl
Time: 378: Elf Bill:     Wrapped toy train, girl
Time: 379: Elf Bill:     Placed toy train, girl
Time: 380: Elf Bill:     Selected toy doll, girl
Time: 380: Elf Bill:     Wrapped toy doll, girl
Time: 380: Elf Bill:     Placed toy doll, girl
Time: 381: Elf Bill:     Selected toy fake tattoo, boy
Time: 381: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 382: Elf Bill:     Placed toy fake tattoo, boy
Time: 382: Elf Bill:     Selected toy doll, boy
Time: 383: Elf Bill:     Wrapped toy doll, boy
Time: 384: Elf Bill:     Placed toy doll, boy
Time: 384: Elf Bill:     Selected toy train, boy
Time: 384: Elf Bill:     Wrapped toy train, boy
Time: 385: Elf Bill:     Placed toy train, boy
Time: 386: Elf Bill:     Selected toy train, girl
Time: 386: Elf Bill:     Wrapped toy train, girl
Time: 387: Elf Bill:     Placed toy train, girl
Time: 387: Elf Bill:     Selected toy whistle, girl
Time: 388: Elf Bill:     Wrapped toy whistle, girl
Time: 388: Elf Bill:     Placed toy whistle, girl
Time: 390: Elf Bill:     Selected toy doll, girl
Time: 390: Elf Bill:     Wrapped toy doll, girl
Time: 391: Elf Bill:     Placed toy doll, girl
Time: 392: Elf Bill:     Selected toy fake tattoo, boy
Time: 392: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 392: Elf Bill:     Placed toy fake tattoo, boy
Time: 394: Elf Bill:     Selected toy bracelet, girl
Time: 395: Elf Bill:     Wrapped toy bracelet, girl
Time: 395: Elf Bill:     Placed toy bracelet, girl
Time: 396: Elf Bill:     Selected toy whistle, boy
Time: 397: Elf Bill:     Wrapped toy whistle, boy
Time: 397: Elf Bill:     Placed toy whistle, boy
Time: 399: Elf Bill:     Selected toy bracelet, boy
Time: 399: Elf Bill:     Wrapped toy bracelet, boy
Time: 399: Elf Bill:     Placed toy bracelet, boy
Time: 399: Elf Bill:     Selected toy dinosaur, boy
Time: 400: Elf Bill:     Wrapped toy dinosaur, boy
Time: 401: Elf Bill:     Placed toy dinosaur, boy
Time: 402: Elf Bill:     Selected toy bracelet, boy
Time: 403: Elf Bill:     Wrapped toy bracelet, boy
Time: 403: Elf Bill:     Placed toy bracelet, boy
Time: 405: Elf Bill:     Selected toy dinosaur, girl
Time: 405: Elf Bill:     Wrapped toy dinosaur, girl
Time: 405: Elf Bill:     Placed toy dinosaur, girl
Time: 406: Elf Bill:     Selected toy fake tattoo, boy
Time: 407: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 408: Elf Bill:     Placed toy fake tattoo, boy
Time: 408: Elf Bill:     Selected toy dinosaur, boy
Time: 408: Elf Bill:     Wrapped toy dinosaur, boy
Time: 409: Elf Bill:     Placed toy dinosaur, boy
Time: 410: Elf Bill:     Selected toy doll, boy
Time: 411: Elf Bill:     Wrapped toy doll, boy
Time: 411: Elf Bill:     Placed toy doll, boy
Time: 413: Elf Bill:     Selected toy doll, boy
Time: 413: Elf Bill:     Wrapped toy doll, boy
Time: 414: Elf Bill:     Placed toy doll, boy
Time: 415: Elf Bill:     Selected toy train, boy
Time: 415: Elf Bill:     Wrapped toy train, boy
Time: 416: Elf Bill:     Placed toy train, boy
Time: 416: Elf Bill:     Selected toy whistle, girl
Time: 417: Elf Bill:     Wrapped toy whistle, girl
Time: 417: Elf Bill:     Placed toy whistle, girl
Time: 418: Elf Bill:     Selected toy fake tattoo, girl
Time: 419: Elf Bill:     Wrapped toy fake tattoo, girl
Time: 419: Elf Bill:     Placed toy fake tattoo, girl
Time: 420: Elf Bill:     Selected toy doll, boy
Time: 421: Elf Bill:     Wrapped toy doll, boy
Time: 421: Elf Bill:     Placed toy doll, boy
Time: 422: Elf Bill:     Selected toy fake tattoo, boy
Time: 423: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 423: Elf Bill:     Placed toy fake tattoo, boy
Time: 425: Elf Bill:     Selected toy train, girl
Time: 425: Elf Bill:     Wrapped toy train, girl
Time: 425: Elf Bill:     Placed toy train, girl
Time: 426: Elf Bill:     Selected toy whistle, boy
Time: 426: Elf Bill:     Wrapped toy whistle, boy
Time: 427: Elf Bill:     Placed toy whistle, boy
Time: 428: Elf Bill:     Selected toy dinosaur, boy
Time: 428: Elf Bill:     Wrapped toy dinosaur, boy
Time: 429: Elf Bill:     Placed toy dinosaur, boy
Time: 431: Elf Bill:     Selected toy fake tattoo, boy
Time: 431: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 432: Elf Bill:     Placed toy fake tattoo, boy
Time: 433: Elf Bill:     Selected toy dinosaur, girl
Time: 433: Elf Bill:     Wrapped toy dinosaur, girl
Time: 433: Elf Bill:     Placed toy dinosaur, girl
Time: 435: Elf Bill:     Selected toy whistle, boy
Time: 435: Elf Bill:     Wrapped toy whistle, boy
Time: 436: Elf Bill:     Placed toy whistle, boy
Time: 437: Elf Bill:     Selected toy fake tattoo, boy
Time: 437: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 438: Elf Bill:     Placed toy fake tattoo, boy
Time: 440: Elf Bill:     Selected toy whistle, boy
Time: 441: Elf Bill:     Wrapped toy whistle, boy
Time: 442: Elf Bill:     Placed toy whistle, boy
Time: 443: Elf Bill:     Selected toy bracelet, boy
Time: 443: Elf Bill:     Wrapped toy bracelet, boy
Time: 443: Elf Bill:     Placed toy bracelet, boy
Time: 444: Elf Bill:     Selected toy whistle, boy
Time: 444: Elf Bill:     Wrapped toy whistle, boy
Time: 444: Elf Bill:     Placed toy whistle, boy
Time: 445: Elf Bill:     Selected toy doll, boy
Time: 445: Elf Bill:     Wrapped toy doll, boy
Time: 445: Elf Bill:     Placed toy doll, boy
Time: 446: Elf Bill:     Selected toy fake tattoo, girl
Time: 446: Elf Bill:     Wrapped toy fake tattoo, girl
Time: 446: Elf Bill:     Placed toy fake tattoo, girl
Time: 447: Elf Bill:     Selected toy fake tattoo, boy
Time: 448: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 449: Elf Bill:     Placed toy fake tattoo, boy
Time: 449: Elf Bill:     Selected toy whistle, boy
Time: 450: Elf Bill:     Wrapped toy whistle, boy
Time: 450: Elf Bill:     Placed toy whistle, boy
Time: 451: Elf Bill:     Selected toy fake tattoo, girl
Time: 452: Elf Bill:     Wrapped toy fake tattoo, girl
Time: 452: Elf Bill:     Placed toy fake tattoo, girl
Time: 453: Elf Bill:     Selected toy doll, boy
Time: 454: Elf Bill:     Wrapped toy doll, boy
Time: 455: Elf Bill:     Placed toy doll, boy
Time: 456: Elf Bill:     Selected toy whistle, girl
Time: 457: Elf Bill:     Wrapped toy whistle, girl
Time: 458: Elf Bill:     Placed toy whistle, girl
Time: 459: Elf Bill:     Selected toy train, girl
Time: 459: Elf Bill:     Wrapped toy train, girl
Time: 459: Elf Bill:     Placed toy train, girl
Time: 461: Elf Bill:     Selected toy doll, boy
Time: 461: Elf Bill:     Wrapped toy doll, boy
Time: 461: Elf Bill:     Placed toy doll, boy
Time: 463: Elf Bill:     Selected toy fake tattoo, boy
Time: 463: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 464: Elf Bill:     Placed toy fake tattoo, boy
Time: 465: Elf Bill:     Selected toy bracelet, girl
Time: 466: Elf Bill:     Wrapped toy bracelet, girl
Time: 467: Elf Bill:     Placed toy bracelet, girl
Time: 468: Elf Bill:     Selected toy dinosaur, boy
Time: 469: Elf Bill:     Wrapped toy dinosaur, boy
Time: 469: Elf Bill:     Placed toy dinosaur, boy
Time: 470: Elf Bill:     Selected toy whistle, boy
Time: 470: Elf Bill:     Wrapped toy whistle, boy
Time: 470: Elf Bill:     Placed toy whistle, boy
Time: 471: Elf Bill:     Selected toy fake tattoo, boy
Time: 471: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 472: Elf Bill:     Placed toy fake tattoo, boy
Time: 472: Elf Bill:     Selected toy fake tattoo, boy
Time: 472: Elf Bill:     Wrapped toy fake tattoo, boy
Time: 472: Elf Bill:     Placed toy fake tattoo, boy
Time: 473: Elf Bill:     Selected toy doll, girl
Time: 474: Elf Bill:     Wrapped toy doll, girl
Time: 474: Elf Bill:     Placed toy doll, girl
Time: 475: Elf Bill:     Selected toy bracelet, boy
Time: 476: Elf Bill:     Wrapped toy bracelet, boy
Time: 477: Elf Bill:     Placed toy bracelet, boy
Time: 477: Elf Bill:     Selected toy whistle, girl
Time: 477: Elf Bill:     Wrapped toy whistle, girl
Time: 478: Elf Bill:     Placed toy whistle, girl
Time: 479: Elf Bill:     Selected toy bracelet, boy
Time: 479: Elf Bill:     Wrapped toy bracelet, boy
Time: 479: Elf Bill:     Placed toy bracelet, boy
Time: 480: Elf Bill:     Selected toy whistle, girl
Time: 480: Elf Bill:     Wrapped toy whistle, girl
Time: 480: Elf Bill:     Placed toy whistle, girl
