Time: 2: Elf Garry:     Selected toy whistle, girl
Time: 347: Elf Garry:     Wrapped toy train, boy
Time: 347: Elf Garry:     Placed toy train, boy
Time: 348: Elf Garry:     Selected toy bracelet, girl
Time: 349: Elf Garry:     Wrapped toy bracelet, girl
Time: 349: Elf Garry:     Placed toy bracelet, girl
Time: 350: Elf Garry:     Selected toy fake tattoo, girl
Time: 350: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 351: Elf Garry:     Placed toy fake tattoo, girl
Time: 352: Elf Garry:     Selected toy dinosaur, girl
Time: 353: Elf Garry:     Wrapped toy dinosaur, girl
Time: 353: Elf Garry:     Placed toy dinosaur, girl
Time: 354: Elf Garry:     Selected toy bracelet, girl
Time: 355: Elf Garry:     Wrapped toy bracelet, girl
Time: 356: Elf Garry:     Placed toy bracelet, girl
Time: 357: Elf Garry:     Selected toy dinosaur, boy
Time: 357: Elf Garry:     Wrapped toy dinosaur, boy
Time: 358: Elf Garry:     Placed toy dinosaur, boy
Time: 359: Elf Garry:     Selected toy whistle, girl
Time: 359: Elf Garry:     Wrapped toy whistle, girl
Time: 359: Elf Garry:     Placed toy whistle, girl
Time: 360: Elf Garry:     Selected toy bracelet, boy
Time: 361: Elf Garry:     Wrapped toy bracelet, boy
Time: 361: Elf Garry:     Placed toy bracelet, boy
Time: 362: Elf Garry:     Selected toy doll, girl
Time: 362: Elf Garry:     Wrapped toy doll, girl
Time: 363: Elf Garry:     Placed toy doll, girl
Time: 363: Elf Garry:     Selected toy doll, boy
Time: 364: Elf Garry:     Wrapped toy doll, boy
Time: 365: Elf Garry:     Placed toy doll, boy
Time: 366: Elf Garry:     Selected toy train, girl
Time: 367: Elf Garry:     Wrapped toy train, girl
Time: 367: Elf Garry:     Placed toy train, girl
Time: 369: Elf Garry:     Selected toy dinosaur, girl
Time: 369: Elf Garry:     Wrapped toy dinosaur, girl
Time: 369: Elf Garry:     Placed toy dinosaur, girl
Time: 370: Elf Garry:     Selected toy whistle, boy
Time: 371: Elf Garry:     Wrapped toy whistle, boy
Time: 372: Elf Garry:     Placed toy whistle, boy
Time: 373: Elf Garry:     Selected toy fake tattoo, boy
Time: 373: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 374: Elf Garry:     Placed toy fake tattoo, boy
Time: 375: Elf Garry:     Selected toy fake tattoo, girl
Time: 375: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 375: Elf Garry:     Placed toy fake tattoo, girl
Time: 377: Elf Garry:     Selected toy bracelet, boy
Time: 377: Elf Garry:     Wrapped toy bracelet, boy
Time: 378: Elf Garry:     Placed toy bracelet, boy
Time: 379: Elf Garry:     Selected toy whistle, boy
Time: 379: Elf Garry:     Wrapped toy whistle, boy
Time: 379: Elf Garry:     Placed toy whistle, boy
Time: 381: Elf Garry:     Selected toy fake tattoo, boy
Time: 381: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 381: Elf Garry:     Placed toy fake tattoo, boy
Time: 383: Elf Garry:     Selected toy bracelet, boy
Time: 383: Elf Garry:     Wrapped toy bracelet, boy
Time: 384: Elf Garry:     Placed toy bracelet, boy
Time: 385: Elf Garry:     Selected toy dinosaur, girl
Time: 385: Elf Garry:     Wrapped toy dinosaur, girl
Time: 385: Elf Garry:     Placed toy dinosaur, girl
Time: 386: Elf Garry:     Selected toy train, girl
Time: 386: Elf Garry:     Wrapped toy train, girl
Time: 387: Elf Garry:     Placed toy train, girl
Time: 389: Elf Garry:     Selected toy dinosaur, girl
Time: 389: Elf Garry:     Wrapped toy dinosaur, girl
Time: 389: Elf Garry:     Placed toy dinosaur, girl
Time: 390: Elf Garry:     Selected toy dinosaur, girl
Time: 390: Elf Garry:     Wrapped toy dinosaur, girl
Time: 391: Elf Garry:     Placed toy dinosaur, girl
Time: 392: Elf Garry:     Selected toy doll, boy
Time: 393: Elf Garry:     Wrapped toy doll, boy
Time: 393: Elf Garry:     Placed toy doll, boy
Time: 394: Elf Garry:     Selected toy fake tattoo, boy
Time: 394: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 395: Elf Garry:     Placed toy fake tattoo, boy
Time: 396: Elf Garry:     Selected toy whistle, boy
Time: 397: Elf Garry:     Wrapped toy whistle, boy
Time: 397: Elf Garry:     Placed toy whistle, boy
Time: 398: Elf Garry:     Selected toy dinosaur, boy
Time: 398: Elf Garry:     Wrapped toy dinosaur, boy
Time: 398: Elf Garry:     Placed toy dinosaur, boy
Time: 400: Elf Garry:     Selected toy doll, boy
Time: 400: Elf Garry:     Wrapped toy doll, boy
Time: 401: Elf Garry:     Placed toy doll, boy
Time: 402: Elf Garry:     Selected toy train, boy
Time: 402: Elf Garry:     Wrapped toy train, boy
Time: 402: Elf Garry:     Placed toy train, boy
Time: 403: Elf Garry:     Selected toy bracelet, boy
Time: 404: Elf Garry:     Wrapped toy bracelet, boy
Time: 404: Elf Garry:     Placed toy bracelet, boy
Time: 405: Elf Garry:     Selected toy whistle, boy
Time: 406: Elf Garry:     Wrapped toy whistle, boy
Time: 407: Elf Garry:     Placed toy whistle, boy
Time: 407: Elf Garry:     Selected toy train, girl
Time: 407: Elf Garry:     Wrapped toy train, girl
Time: 407: Elf Garry:     Placed toy train, girl
Time: 408: Elf Garry:     Selected toy train, girl
Time: 409: Elf Garry:     Wrapped toy train, girl
Time: 410: Elf Garry:     Placed toy train, girl
Time: 410: Elf Garry:     Selected toy whistle, boy
Time: 411: Elf Garry:     Wrapped toy whistle, boy
Time: 411: Elf Garry:     Placed toy whistle, boy
Time: 413: Elf Garry:     Selected toy dinosaur, girl
Time: 413: Elf Garry:     Wrapped toy dinosaur, girl
Time: 414: Elf Garry:     Placed toy dinosaur, girl
Time: 415: Elf Garry:     Selected toy whistle, boy
Time: 416: Elf Garry:     Wrapped toy whistle, boy
Time: 417: Elf Garry:     Placed toy whistle, boy
Time: 417: Elf Garry:     Selected toy whistle, boy
Time: 417: Elf Garry:     Wrapped toy whistle, boy
Time: 418: Elf Garry:     Placed toy whistle, boy
Time: 419: Elf Garry:     Selected toy fake tattoo, girl
Time: 419: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 420: Elf Garry:     Placed toy fake tattoo, girl
Time: 422: Elf Garry:     Selected toy doll, boy
Time: 422: Elf Garry:     Wrapped toy doll, boy
Time: 422: Elf Garry:     Placed toy doll, boy
Time: 424: Elf Garry:     Selected toy dinosaur, girl
Time: 425: Elf Garry:     Wrapped toy dinosaur, girl
Time: 426: Elf Garry:     Placed toy dinosaur, girl
Time: 426: Elf Garry:     Selected toy train, boy
Time: 427: Elf Garry:     Wrapped toy train, boy
Time: 427: Elf Garry:     Placed toy train, boy
Time: 428: Elf Garry:     Selected toy dinosaur, boy
Time: 428: Elf Garry:     Wrapped toy dinosaur, boy
Time: 429: Elf Garry:     Placed toy dinosaur, boy
Time: 430: Elf Garry:     Selected toy whistle, girl
Time: 430: Elf Garry:     Wrapped toy whistle, girl
Time: 430: Elf Garry:     Placed toy whistle, girl
Time: 431: Elf Garry:     Selected toy fake tattoo, girl
Time: 431: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 432: Elf Garry:     Placed toy fake tattoo, girl
Time: 433: Elf Garry:     Selected toy dinosaur, girl
Time: 433: Elf Garry:     Wrapped toy dinosaur, girl
Time: 434: Elf Garry:     Placed toy dinosaur, girl
Time: 434: Elf Garry:     Selected toy doll, girl
Time: 435: Elf Garry:     Wrapped toy doll, girl
Time: 435: Elf Garry:     Placed toy doll, girl
Time: 436: Elf Garry:     Selected toy doll, girl
Time: 437: Elf Garry:     Wrapped toy doll, girl
Time: 437: Elf Garry:     Placed toy doll, girl
Time: 439: Elf Garry:     Selected toy dinosaur, girl
Time: 439: Elf Garry:     Wrapped toy dinosaur, girl
Time: 439: Elf Garry:     Placed toy dinosaur, girl
Time: 440: Elf Garry:     Selected toy doll, boy
Time: 441: Elf Garry:     Wrapped toy doll, boy
Time: 441: Elf Garry:     Placed toy doll, boy
Time: 442: Elf Garry:     Selected toy dinosaur, girl
Time: 443: Elf Garry:     Wrapped toy dinosaur, girl
Time: 443: Elf Garry:     Placed toy dinosaur, girl
Time: 444: Elf Garry:     Selected toy train, girl
Time: 445: Elf Garry:     Wrapped toy train, girl
Time: 446: Elf Garry:     Placed toy train, girl
Time: 447: Elf Garry:     Selected toy doll, boy
Time: 448: Elf Garry:     Wrapped toy doll, boy
Time: 448: Elf Garry:     Placed toy doll, boy
Time: 449: Elf Garry:     Selected toy whistle, boy
Time: 450: Elf Garry:     Wrapped toy whistle, boy
Time: 451: Elf Garry:     Placed toy whistle, boy
Time: 452: Elf Garry:     Selected toy bracelet, girl
Time: 453: Elf Garry:     Wrapped toy bracelet, girl
Time: 453: Elf Garry:     Placed toy bracelet, girl
Time: 454: Elf Garry:     Selected toy bracelet, boy
Time: 454: Elf Garry:     Wrapped toy bracelet, boy
Time: 455: Elf Garry:     Placed toy bracelet, boy
Time: 456: Elf Garry:     Selected toy train, boy
Time: 457: Elf Garry:     Wrapped toy train, boy
Time: 457: Elf Garry:     Placed toy train, boy
Time: 459: Elf Garry:     Selected toy train, girl
Time: 460: Elf Garry:     Wrapped toy train, girl
Time: 460: Elf Garry:     Placed toy train, girl
Time: 461: Elf Garry:     Selected toy doll, girl
Time: 461: Elf Garry:     Wrapped toy doll, girl
Time: 462: Elf Garry:     Placed toy doll, girl
Time: 463: Elf Garry:     Selected toy fake tattoo, girl
Time: 464: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 464: Elf Garry:     Placed toy fake tattoo, girl
Time: 465: Elf Garry:     Selected toy doll, boy
Time: 466: Elf Garry:     Wrapped toy doll, boy
Time: 466: Elf Garry:     Placed toy doll, boy
Time: 468: Elf Garry:     Selected toy train, boy
Time: 469: Elf Garry:     Wrapped toy train, boy
Time: 469: Elf Garry:     Placed toy train, boy
Time: 470: Elf Garry:     Selected toy dinosaur, boy
Time: 470: Elf Garry:     Wrapped toy dinosaur, boy
Time: 471: Elf Garry:     Placed toy dinosaur, boy
Time: 472: Elf Garry:     Selected toy train, boy
Time: 473: Elf Garry:     Wrapped toy train, boy
Time: 473: Elf Garry:     Placed toy train, boy
Time: 474: Elf Garry:     Selected toy dinosaur, boy
Time: 474: Elf Garry:     Wrapped toy dinosaur, boy
Time: 474: Elf Garry:     Placed toy dinosaur, boy
Time: 475: Elf Garry:     Selected toy bracelet, girl
Time: 476: Elf Garry:     Wrapped toy bracelet, girl
Time: 476: Elf Garry:     Placed toy bracelet, girl
Time: 477: Elf Garry:     Selected toy bracelet, girl
Time: 477: Elf Garry:     Wrapped toy bracelet, girl
Time: 478: Elf Garry:     Placed toy bracelet, girl
Time: 479: Elf Garry:     Selected toy fake tattoo, boy
Time: 480: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 480: Elf Garry:     Placed toy fake tattoo, boy
Time: 480: Elf Garry:     Selected toy train, boy
Time: 480: Elf Garry:     Wrapped toy train, boy
Time: 480: Elf Garry:     Placed toy train, boy
