Time: 2: Elf Tom:     Selected toy dinosaur, boy
Time: 345: Elf Tom:     Wrapped toy train, girl
Time: 346: Elf Tom:     Placed toy train, girl
Time: 348: Elf Tom:     Selected toy dinosaur, boy
Time: 349: Elf Tom:     Wrapped toy dinosaur, boy
Time: 349: Elf Tom:     Placed toy dinosaur, boy
Time: 351: Elf Tom:     Selected toy doll, girl
Time: 351: Elf Tom:     Wrapped toy doll, girl
Time: 352: Elf Tom:     Placed toy doll, girl
Time: 353: Elf Tom:     Selected toy doll, boy
Time: 354: Elf Tom:     Wrapped toy doll, boy
Time: 354: Elf Tom:     Placed toy doll, boy
Time: 355: Elf Tom:     Selected toy whistle, boy
Time: 355: Elf Tom:     Wrapped toy whistle, boy
Time: 355: Elf Tom:     Placed toy whistle, boy
Time: 357: Elf Tom:     Selected toy fake tattoo, boy
Time: 357: Elf Tom:     Wrapped toy fake tattoo, boy
Time: 357: Elf Tom:     Placed toy fake tattoo, boy
Time: 358: Elf Tom:     Selected toy train, boy
Time: 359: Elf Tom:     Wrapped toy train, boy
Time: 359: Elf Tom:     Placed toy train, boy
Time: 361: Elf Tom:     Selected toy fake tattoo, girl
Time: 361: Elf Tom:     Wrapped toy fake tattoo, girl
Time: 361: Elf Tom:     Placed toy fake tattoo, girl
Time: 362: Elf Tom:     Selected toy fake tattoo, girl
Time: 363: Elf Tom:     Wrapped toy fake tattoo, girl
Time: 364: Elf Tom:     Placed toy fake tattoo, girl
Time: 365: Elf Tom:     Selected toy whistle, boy
Time: 366: Elf Tom:     Wrapped toy whistle, boy
Time: 367: Elf Tom:     Placed toy whistle, boy
Time: 368: Elf Tom:     Selected toy fake tattoo, girl
Time: 368: Elf Tom:     Wrapped toy fake tattoo, girl
Time: 369: Elf Tom:     Placed toy fake tattoo, girl
Time: 369: Elf Tom:     Selected toy whistle, boy
Time: 369: Elf Tom:     Wrapped toy whistle, boy
Time: 370: Elf Tom:     Placed toy whistle, boy
Time: 371: Elf Tom:     Selected toy dinosaur, boy
Time: 371: Elf Tom:     Wrapped toy dinosaur, boy
Time: 372: Elf Tom:     Placed toy dinosaur, boy
Time: 374: Elf Tom:     Selected toy dinosaur, girl
Time: 374: Elf Tom:     Wrapped toy dinosaur, girl
Time: 374: Elf Tom:     Placed toy dinosaur, girl
Time: 376: Elf Tom:     Selected toy doll, boy
Time: 377: Elf Tom:     Wrapped toy doll, boy
Time: 377: Elf Tom:     Placed toy doll, boy
Time: 378: Elf Tom:     Selected toy train, boy
Time: 378: Elf Tom:     Wrapped toy train, boy
Time: 378: Elf Tom:     Placed toy train, boy
Time: 380: Elf Tom:     Selected toy bracelet, boy
Time: 381: Elf Tom:     Wrapped toy bracelet, boy
Time: 381: Elf Tom:     Placed toy bracelet, boy
Time: 382: Elf Tom:     Selected toy dinosaur, girl
Time: 382: Elf Tom:     Wrapped toy dinosaur, girl
Time: 382: Elf Tom:     Placed toy dinosaur, girl
Time: 383: Elf Tom:     Selected toy train, girl
Time: 384: Elf Tom:     Wrapped toy train, girl
Time: 384: Elf Tom:     Placed toy train, girl
Time: 386: Elf Tom:     Selected toy fake tattoo, boy
Time: 386: Elf Tom:     Wrapped toy fake tattoo, boy
Time: 386: Elf Tom:     Placed toy fake tattoo, boy
Time: 386: Elf Tom:     Selected toy bracelet, boy
Time: 387: Elf Tom:     Wrapped toy bracelet, boy
Time: 388: Elf Tom:     Placed toy bracelet, boy
Time: 389: Elf Tom:     Selected toy train, girl
Time: 389: Elf Tom:     Wrapped toy train, girl
Time: 389: Elf Tom:     Placed toy train, girl
Time: 390: Elf Tom:     Selected toy whistle, girl
Time: 391: Elf Tom:     Wrapped toy whistle, girl
Time: 391: Elf Tom:     Placed toy whistle, girl
Time: 393: Elf Tom:     Selected toy whistle, boy
Time: 394: Elf Tom:     Wrapped toy whistle, boy
Time: 395: Elf Tom:     Placed toy whistle, boy
Time: 396: Elf Tom:     Selected toy train, boy
Time: 397: Elf Tom:     Wrapped toy train, boy
Time: 397: Elf Tom:     Placed toy train, boy
Time: 398: Elf Tom:     Selected toy dinosaur, girl
Time: 398: Elf Tom:     Wrapped toy dinosaur, girl
Time: 398: Elf Tom:     Placed toy dinosaur, girl
Time: 400: Elf Tom:     Selected toy doll, girl
Time: 400: Elf Tom:     Wrapped toy doll, girl
Time: 401: Elf Tom:     Placed toy doll, girl
Time: 402: Elf Tom:     Selected toy fake tattoo, boy
Time: 402: Elf Tom:     Wrapped toy fake tattoo, boy
Time: 402: Elf Tom:     Placed toy fake tattoo, boy
Time: 404: Elf Tom:     Selected toy fake tattoo, boy
Time: 404: Elf Tom:     Wrapped toy fake tattoo, boy
Time: 404: Elf Tom:     Placed toy fake tattoo, boy
Time: 406: Elf Tom:     Selected toy dinosaur, girl
Time: 406: Elf Tom:     Wrapped toy dinosaur, girl
Time: 407: Elf Tom:     Placed toy dinosaur, girl
Time: 408: Elf Tom:     Selected toy fake tattoo, boy
Time: 409: Elf Tom:     Wrapped toy fake tattoo, boy
Time: 410: Elf Tom:     Placed toy fake tattoo, boy
Time: 410: Elf Tom:     Selected toy whistle, girl
Time: 411: Elf Tom:     Wrapped toy whistle, girl
Time: 412: Elf Tom:     Placed toy whistle, girl
Time: 413: Elf Tom:     Selected toy doll, girl
Time: 413: Elf Tom:     Wrapped toy doll, girl
Time: 413: Elf Tom:     Placed toy doll, girl
Time: 414: Elf Tom:     Selected toy train, girl
Time: 415: Elf Tom:     Wrapped toy train, girl
Time: 416: Elf Tom:     Placed toy train, girl
Time: 416: Elf Tom:     Selected toy bracelet, boy
Time: 416: Elf Tom:     Wrapped toy bracelet, boy
Time: 417: Elf Tom:     Placed toy bracelet, boy
Time: 418: Elf Tom:     Selected toy fake tattoo, girl
Time: 419: Elf Tom:     Wrapped toy fake tattoo, girl
Time: 419: Elf Tom:     Placed toy fake tattoo, girl
Time: 421: Elf Tom:     Selected toy fake tattoo, girl
Time: 422: Elf Tom:     Wrapped toy fake tattoo, girl
Time: 423: Elf Tom:     Placed toy fake tattoo, girl
Time: 423: Elf Tom:     Selected toy whistle, girl
Time: 423: Elf Tom:     Wrapped toy whistle, girl
Time: 424: Elf Tom:     Placed toy whistle, girl
Time: 424: Elf Tom:     Selected toy train, girl
Time: 425: Elf Tom:     Wrapped toy train, girl
Time: 425: Elf Tom:     Placed toy train, girl
Time: 427: Elf Tom:     Selected toy fake tattoo, girl
Time: 427: Elf Tom:     Wrapped toy fake tattoo, girl
Time: 427: Elf Tom:     Placed toy fake tattoo, girl
Time: 428: Elf Tom:     Selected toy doll, boy
Time: 428: Elf Tom:     Wrapped toy doll, boy
Time: 429: Elf Tom:     Placed toy doll, boy
Time: 430: Elf Tom:     Selected toy dinosaur, boy
Time: 431: Elf Tom:     Wrapped toy dinosaur, boy
Time: 431: Elf Tom:     Placed toy dinosaur, boy
Time: 432: Elf Tom:     Selected toy train, girl
Time: 432: Elf Tom:     Wrapped toy train, girl
Time: 432: Elf Tom:     Placed toy train, girl
Time: 433: Elf Tom:     Selected toy doll, girl
Time: 433: Elf Tom:     Wrapped toy doll, girl
Time: 434: Elf Tom:     Placed toy doll, girl
Time: 434: Elf Tom:     Selected toy whistle, girl
Time: 435: Elf Tom:     Wrapped toy whistle, girl
Time: 435: Elf Tom:     Placed toy whistle, girl
Time: 436: Elf Tom:     Selected toy bracelet, girl
Time: 437: Elf Tom:     Wrapped toy bracelet, girl
Time: 437: Elf Tom:     Placed toy bracelet, girl
Time: 439: Elf Tom:     Selected toy train, boy
Time: 439: Elf Tom:     Wrapped toy train, boy
Time: 440: Elf Tom:     Placed toy train, boy
Time: 440: Elf Tom:     Selected toy fake tattoo, girl
Time: 441: Elf Tom:     Wrapped toy fake tattoo, girl
Time: 442: Elf Tom:     Placed toy fake tattoo, girl
Time: 443: Elf Tom:     Selected toy whistle, boy
Time: 443: Elf Tom:     Wrapped toy whistle, boy
Time: 444: Elf Tom:     Placed toy whistle, boy
Time: 445: Elf Tom:     Selected toy dinosaur, girl
Time: 446: Elf Tom:     Wrapped toy dinosaur, girl
Time: 447: Elf Tom:     Placed toy dinosaur, girl
Time: 447: Elf Tom:     Selected toy train, boy
Time: 448: Elf Tom:     Wrapped toy train, boy
Time: 449: Elf Tom:     Placed toy train, boy
Time: 450: Elf Tom:     Selected toy doll, boy
Time: 450: Elf Tom:     Wrapped toy doll, boy
Time: 451: Elf Tom:     Placed toy doll, boy
Time: 451: Elf Tom:     Selected toy dinosaur, boy
Time: 452: Elf Tom:     Wrapped toy dinosaur, boy
Time: 452: Elf Tom:     Placed toy dinosaur, boy
Time: 452: Elf Tom:     Selected toy doll, boy
Time: 453: Elf Tom:     Wrapped toy doll, boy
Time: 453: Elf Tom:     Placed toy doll, boy
Time: 454: Elf Tom:     Selected toy whistle, girl
Time: 454: Elf Tom:     Wrapped toy whistle, girl
Time: 455: Elf Tom:     Placed toy whistle, girl
Time: 456: Elf Tom:     Selected toy dinosaur, boy
Time: 456: Elf Tom:     Wrapped toy dinosaur, boy
Time: 456: Elf Tom:     Placed toy dinosaur, boy
Time: 458: Elf Tom:     Selected toy train, girl
Time: 459: Elf Tom:     Wrapped toy train, girl
Time: 459: Elf Tom:     Placed toy train, girl
Time: 460: Elf Tom:     Selected toy dinosaur, boy
Time: 460: Elf Tom:     Wrapped toy dinosaur, boy
Time: 461: Elf Tom:     Placed toy dinosaur, boy
Time: 462: Elf Tom:     Selected toy bracelet, girl
Time: 462: Elf Tom:     Wrapped toy bracelet, girl
Time: 462: Elf Tom:     Placed toy bracelet, girl
Time: 463: Elf Tom:     Selected toy train, boy
Time: 463: Elf Tom:     Wrapped toy train, boy
Time: 463: Elf Tom:     Placed toy train, boy
Time: 464: Elf Tom:     Selected toy bracelet, boy
Time: 465: Elf Tom:     Wrapped toy bracelet, boy
Time: 465: Elf Tom:     Placed toy bracelet, boy
Time: 466: Elf Tom:     Selected toy whistle, girl
Time: 467: Elf Tom:     Wrapped toy whistle, girl
Time: 467: Elf Tom:     Placed toy whistle, girl
Time: 468: Elf Tom:     Selected toy whistle, girl
Time: 469: Elf Tom:     Wrapped toy whistle, girl
Time: 470: Elf Tom:     Placed toy whistle, girl
Time: 470: Elf Tom:     Selected toy bracelet, girl
Time: 471: Elf Tom:     Wrapped toy bracelet, girl
Time: 472: Elf Tom:     Placed toy bracelet, girl
Time: 473: Elf Tom:     Selected toy fake tattoo, girl
Time: 474: Elf Tom:     Wrapped toy fake tattoo, girl
Time: 474: Elf Tom:     Placed toy fake tattoo, girl
Time: 475: Elf Tom:     Selected toy fake tattoo, girl
Time: 475: Elf Tom:     Wrapped toy fake tattoo, girl
Time: 476: Elf Tom:     Placed toy fake tattoo, girl
Time: 477: Elf Tom:     Selected toy fake tattoo, boy
Time: 478: Elf Tom:     Wrapped toy fake tattoo, boy
Time: 478: Elf Tom:     Placed toy fake tattoo, boy
Time: 479: Elf Tom:     Selected toy doll, boy
Time: 480: Elf Tom:     Wrapped toy doll, boy
Time: 480: Elf Tom:     Placed toy doll, boy
