Time: 1: Elf David:     Selected toy whistle, boy
Time: 363: Elf David:     Wrapped toy fake tattoo, girl
Time: 363: Elf David:     Placed toy fake tattoo, girl
Time: 364: Elf David:     Selected toy doll, girl
Time: 364: Elf David:     Wrapped toy doll, girl
Time: 365: Elf David:     Placed toy doll, girl
Time: 366: Elf David:     Selected toy dinosaur, boy
Time: 367: Elf David:     Wrapped toy dinosaur, boy
Time: 368: Elf David:     Placed toy dinosaur, boy
Time: 369: Elf David:     Selected toy doll, boy
Time: 369: Elf David:     Wrapped toy doll, boy
Time: 370: Elf David:     Placed toy doll, boy
Time: 370: Elf David:     Selected toy bracelet, girl
Time: 371: Elf David:     Wrapped toy bracelet, girl
Time: 372: Elf David:     Placed toy bracelet, girl
Time: 374: Elf David:     Selected toy whistle, girl
Time: 374: Elf David:     Wrapped toy whistle, girl
Time: 374: Elf David:     Placed toy whistle, girl
Time: 375: Elf David:     Selected toy fake tattoo, girl
Time: 375: Elf David:     Wrapped toy fake tattoo, girl
Time: 375: Elf David:     Placed toy fake tattoo, girl
Time: 376: Elf David:     Selected toy fake tattoo, boy
Time: 377: Elf David:     Wrapped toy fake tattoo, boy
Time: 377: Elf David:     Placed toy fake tattoo, boy
Time: 379: Elf David:     Selected toy dinosaur, boy
Time: 380: Elf David:     Wrapped toy dinosaur, boy
Time: 380: Elf David:     Placed toy dinosaur, boy
Time: 380: Elf David:     Selected toy whistle, girl
Time: 381: Elf David:     Wrapped toy whistle, girl
Time: 382: Elf David:     Placed toy whistle, girl
Time: 382: Elf David:     Selected toy train, boy
Time: 383: Elf David:     Wrapped toy train, boy
Time: 383: Elf David:     Placed toy train, boy
Time: 384: Elf David:     Selected toy fake tattoo, girl
Time: 385: Elf David:     Wrapped toy fake tattoo, girl
Time: 386: Elf David:     Placed toy fake tattoo, girl
Time: 387: Elf David:     Selected toy bracelet, girl
Time: 388: Elf David:     Wrapped toy bracelet, girl
Time: 388: Elf David:     Placed toy bracelet, girl
Time: 389: Elf David:     Selected toy doll, girl
Time: 389: Elf David:     Wrapped toy doll, girl
Time: 389: Elf David:     Placed toy doll, girl
Time: 390: Elf David:     Selected toy dinosaur, boy
Time: 391: Elf David:     Wrapped toy dinosaur, boy
Time: 391: Elf David:     Placed toy dinosaur, boy
Time: 391: Elf David:     Selected toy dinosaur, girl
Time: 392: Elf David:     Wrapped toy dinosaur, girl
Time: 392: Elf David:     Placed toy dinosaur, girl
Time: 393: Elf David:     Selected toy doll, girl
Time: 394: Elf David:     Wrapped toy doll, girl
Time: 394: Elf David:     Placed toy doll, girl
Time: 395: Elf David:     Selected toy train, girl
Time: 395: Elf David:     Wrapped toy train, girl
Time: 396: Elf David:     Placed toy train, girl
Time: 397: Elf David:     Selected toy whistle, boy
Time: 397: Elf David:     Wrapped toy whistle, boy
Time: 397: Elf David:     Placed toy whistle, boy
Time: 398: Elf David:     Selected toy fake tattoo, boy
Time: 399: Elf David:     Wrapped toy fake tattoo, boy
Time: 399: Elf David:     Placed toy fake tattoo, boy
Time: 400: Elf David:     Selected toy fake tattoo, girl
Time: 400: Elf David:     Wrapped toy fake tattoo, girl
Time: 401: Elf David:     Placed toy fake tattoo, girl
Time: 402: Elf David:     Selected toy train, girl
Time: 402: Elf David:     Wrapped toy train, girl
Time: 403: Elf David:     Placed toy train, girl
Time: 404: Elf David:     Selected toy fake tattoo, girl
Time: 404: Elf David:     Wrapped toy fake tattoo, girl
Time: 405: Elf David:     Placed toy fake tattoo, girl
Time: 405: Elf David:     Selected toy dinosaur, boy
Time: 406: Elf David:     Wrapped toy dinosaur, boy
Time: 406: Elf David:     Placed toy dinosaur, boy
Time: 407: Elf David:     Selected toy whistle, girl
Time: 408: Elf David:     Wrapped toy whistle, girl
Time: 409: Elf David:     Placed toy whistle, girl
Time: 410: Elf David:     Selected toy whistle, girl
Time: 411: Elf David:     Wrapped toy whistle, girl
Time: 411: Elf David:     Placed toy whistle, girl
Time: 412: Elf David:     Selected toy doll, boy
Time: 412: Elf David:     Wrapped toy doll, boy
Time: 413: Elf David:     Placed toy doll, boy
Time: 414: Elf David:     Selected toy doll, girl
Time: 415: Elf David:     Wrapped toy doll, girl
Time: 415: Elf David:     Placed toy doll, girl
Time: 415: Elf David:     Selected toy doll, boy
Time: 416: Elf David:     Wrapped toy doll, boy
Time: 417: Elf David:     Placed toy doll, boy
Time: 418: Elf David:     Selected toy bracelet, girl
Time: 418: Elf David:     Wrapped toy bracelet, girl
Time: 418: Elf David:     Placed toy bracelet, girl
Time: 419: Elf David:     Selected toy bracelet, girl
Time: 420: Elf David:     Wrapped toy bracelet, girl
Time: 421: Elf David:     Placed toy bracelet, girl
Time: 422: Elf David:     Selected toy train, boy
Time: 422: Elf David:     Wrapped toy train, boy
Time: 423: Elf David:     Placed toy train, boy
Time: 424: Elf David:     Selected toy fake tattoo, boy
Time: 425: Elf David:     Wrapped toy fake tattoo, boy
Time: 426: Elf David:     Placed toy fake tattoo, boy
Time: 428: Elf David:     Selected toy bracelet, boy
Time: 428: Elf David:     Wrapped toy bracelet, boy
Time: 429: Elf David:     Placed toy bracelet, boy
Time: 430: Elf David:     Selected toy fake tattoo, girl
Time: 430: Elf David:     Wrapped toy fake tattoo, girl
Time: 431: Elf David:     Placed toy fake tattoo, girl
Time: 433: Elf David:     Selected toy fake tattoo, girl
Time: 433: Elf David:     Wrapped toy fake tattoo, girl
Time: 433: Elf David:     Placed toy fake tattoo, girl
Time: 434: Elf David:     Selected toy bracelet, boy
Time: 434: Elf David:     Wrapped toy bracelet, boy
Time: 435: Elf David:     Placed toy bracelet, boy
Time: 436: Elf David:     Selected toy train, girl
Time: 436: Elf David:     Wrapped toy train, girl
Time: 437: Elf David:     Placed toy train, girl
Time: 438: Elf David:     Selected toy fake tattoo, girl
Time: 438: Elf David:     Wrapped toy fake tattoo, girl
Time: 438: Elf David:     Placed toy fake tattoo, girl
Time: 439: Elf David:     Selected toy whistle, boy
Time: 440: Elf David:     Wrapped toy whistle, boy
Time: 440: Elf David:     Placed toy whistle, boy
Time: 440: Elf David:     Selected toy train, boy
Time: 441: Elf David:     Wrapped toy train, boy
Time: 442: Elf David:     Placed toy train, boy
Time: 443: Elf David:     Selected toy bracelet, girl
Time: 444: Elf David:     Wrapped toy bracelet, girl
Time: 444: Elf David:     Placed toy bracelet, girl
Time: 445: Elf David:     Selected toy whistle, boy
Time: 446: Elf David:     Wrapped toy whistle, boy
Time: 446: Elf David:     Placed toy whistle, boy
Time: 447: Elf David:     Selected toy bracelet, boy
Time: 447: Elf David:     Wrapped toy bracelet, boy
Time: 447: Elf David:     Placed toy bracelet, boy
Time: 447: Elf David:     Selected toy bracelet, boy
Time: 447: Elf David:     Wrapped toy bracelet, boy
Time: 447: Elf David:     Placed toy bracelet, boy
Time: 448: Elf David:     Selected toy train, girl
Time: 449: Elf David:     Wrapped toy train, girl
Time: 449: Elf David:     Placed toy train, girl
Time: 450: Elf David:     Selected toy fake tattoo, girl
Time: 450: Elf David:     Wrapped toy fake tattoo, girl
Time: 451: Elf David:     Placed toy fake tattoo, girl
Time: 451: Elf David:     Selected toy bracelet, girl
Time: 452: Elf David:     Wrapped toy bracelet, girl
Time: 452: Elf David:     Placed toy bracelet, girl
Time: 453: Elf David:     Selected toy bracelet, girl
Time: 453: Elf David:     Wrapped toy bracelet, girl
Time: 454: Elf David:     Placed toy bracelet, girl
Time: 455: Elf David:     Selected toy doll, girl
Time: 456: Elf David:     Wrapped toy doll, girl
Time: 457: Elf David:     Placed toy doll, girl
Time: 458: Elf David:     Selected toy dinosaur, boy
Time: 458: Elf David:     Wrapped toy dinosaur, boy
Time: 459: Elf David:     Placed toy dinosaur, boy
Time: 460: Elf David:     Selected toy fake tattoo, girl
Time: 460: Elf David:     Wrapped toy fake tattoo, girl
Time: 460: Elf David:     Placed toy fake tattoo, girl
Time: 462: Elf David:     Selected toy bracelet, boy
Time: 462: Elf David:     Wrapped toy bracelet, boy
Time: 463: Elf David:     Placed toy bracelet, boy
Time: 464: Elf David:     Selected toy whistle, girl
Time: 464: Elf David:     Wrapped toy whistle, girl
Time: 464: Elf David:     Placed toy whistle, girl
Time: 466: Elf David:     Selected toy train, girl
Time: 466: Elf David:     Wrapped toy train, girl
Time: 467: Elf David:     Placed toy train, girl
Time: 468: Elf David:     Selected toy doll, boy
Time: 468: Elf David:     Wrapped toy doll, boy
Time: 469: Elf David:     Placed toy doll, boy
Time: 469: Elf David:     Selected toy bracelet, girl
Time: 470: Elf David:     Wrapped toy bracelet, girl
Time: 470: Elf David:     Placed toy bracelet, girl
Time: 471: Elf David:     Selected toy fake tattoo, girl
Time: 472: Elf David:     Wrapped toy fake tattoo, girl
Time: 473: Elf David:     Placed toy fake tattoo, girl
Time: 474: Elf David:     Selected toy fake tattoo, girl
Time: 475: Elf David:     Wrapped toy fake tattoo, girl
Time: 475: Elf David:     Placed toy fake tattoo, girl
Time: 476: Elf David:     Selected toy fake tattoo, girl
Time: 477: Elf David:     Wrapped toy fake tattoo, girl
Time: 477: Elf David:     Placed toy fake tattoo, girl
Time: 479: Elf David:     Selected toy whistle, girl
Time: 479: Elf David:     Wrapped toy whistle, girl
Time: 480: Elf David:     Placed toy whistle, girl
Time: 480: Elf David:     Selected toy bracelet, boy
Time: 480: Elf David:     Wrapped toy bracelet, boy
Time: 480: Elf David:     Placed toy bracelet, boy
